team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
India,Australia,1,0,1,0.16666666666666666,R Sharma,M Starc,4,,4,0,,
India,Australia,1,0,2,0.3333333333333333,R Sharma,M Starc,0,,4,0,,
India,Australia,1,0,3,0.5,R Sharma,M Starc,1,,5,0,,
India,Australia,1,0,4,0.6666666666666666,S Gill,M Starc,0,caught,5,1,,
India,Australia,1,0,5,0.8333333333333334,V Kohli,M Starc,1,,6,1,,
India,Australia,1,0,6,1.0,R Sharma,M Starc,4,,10,1,,
India,Australia,1,1,1,1.1666666666666667,V Kohli,J Hazlewood,0,,10,1,,
India,Australia,1,1,2,1.3333333333333333,V Kohli,J Hazlewood,1,,11,1,,
India,Australia,1,1,3,1.5,R Sharma,J Hazlewood,1,,12,1,,
India,Australia,1,1,4,1.6666666666666665,V Kohli,J Hazlewood,0,,12,1,,
India,Australia,1,1,5,1.8333333333333335,V Kohli,J Hazlewood,1,,13,1,,
India,Australia,1,1,6,2.0,R Sharma,J Hazlewood,1,,14,1,,
India,Australia,1,2,1,2.1666666666666665,R Sharma,M Starc,1,,15,1,,
India,Australia,1,2,2,2.3333333333333335,V Kohli,M Starc,1,,16,1,,
India,Australia,1,2,3,2.5,R Sharma,M Starc,0,,16,1,,
India,Australia,1,2,4,2.6666666666666665,R Sharma,M Starc,0,,16,1,,
India,Australia,1,2,5,2.8333333333333335,R Sharma,M Starc,0,,16,1,,
India,Australia,1,2,6,3.0,R Sharma,M Starc,0,,16,1,,
India,Australia,1,3,1,3.1666666666666665,V Kohli,J Hazlewood,0,,16,1,,
India,Australia,1,3,2,3.3333333333333335,V Kohli,J Hazlewood,0,,16,1,,
India,Australia,1,3,3,3.5,V Kohli,J Hazlewood,4,,20,1,,
India,Australia,1,3,4,3.6666666666666665,V Kohli,J Hazlewood,0,,20,1,,
India,Australia,1,3,5,3.8333333333333335,V Kohli,J Hazlewood,0,,20,1,,
India,Australia,1,3,6,4.0,V Kohli,J Hazlewood,4,,24,1,,
India,Australia,1,4,1,4.166666666666667,R Sharma,M Starc,0,,24,1,,
India,Australia,1,4,2,4.333333333333333,R Sharma,M Starc,1,,25,1,,
India,Australia,1,4,3,4.5,V Kohli,M Starc,0,,25,1,,
India,Australia,1,4,4,4.666666666666667,V Kohli,M Starc,1,,26,1,,
India,Australia,1,4,5,4.833333333333333,R Sharma,M Starc,1,,27,1,,
India,Australia,1,4,6,5.0,V Kohli,M Starc,4,,31,1,,
India,Australia,1,5,1,5.166666666666667,R Sharma,J Hazlewood,0,,31,1,,
India,Australia,1,5,2,5.333333333333333,R Sharma,J Hazlewood,0,,31,1,,
India,Australia,1,5,3,5.5,R Sharma,J Hazlewood,4,,35,1,,
India,Australia,1,5,4,5.666666666666667,R Sharma,J Hazlewood,0,,35,1,,
India,Australia,1,5,5,5.833333333333333,R Sharma,J Hazlewood,1,,36,1,,
India,Australia,1,5,6,6.0,V Kohli,J Hazlewood,1,,37,1,,
India,Australia,1,6,1,6.166666666666667,V Kohli,P Cummins,0,,37,1,,
India,Australia,1,6,2,6.333333333333333,V Kohli,P Cummins,1,,38,1,,
India,Australia,1,6,3,6.5,R Sharma,P Cummins,0,,38,1,,
India,Australia,1,6,4,6.666666666666667,R Sharma,P Cummins,1,,39,1,,
India,Australia,1,6,5,6.833333333333333,V Kohli,P Cummins,4,,43,1,,
India,Australia,1,6,6,7.0,V Kohli,P Cummins,0,,43,1,,
India,Australia,1,7,1,7.166666666666667,R Sharma,G Maxwell,0,,43,1,,
India,Australia,1,7,2,7.333333333333333,R Sharma,G Maxwell,0,,43,1,,
India,Australia,1,7,3,7.5,R Sharma,G Maxwell,0,,43,1,,
India,Australia,1,7,4,7.666666666666667,R Sharma,G Maxwell,0,,43,1,,
India,Australia,1,7,5,7.833333333333333,R Sharma,G Maxwell,4,,47,1,,
India,Australia,1,7,6,8.0,R Sharma,G Maxwell,1,,48,1,,
India,Australia,1,8,1,8.166666666666666,R Sharma,P Cummins,0,,48,1,,
India,Australia,1,8,2,8.333333333333334,R Sharma,P Cummins,1,,49,1,,
India,Australia,1,8,3,8.5,V Kohli,P Cummins,0,,49,1,,
India,Australia,1,8,4,8.666666666666666,V Kohli,P Cummins,4,,53,1,,
India,Australia,1,8,5,8.833333333333334,V Kohli,P Cummins,0,,53,1,,
India,Australia,1,8,6,9.0,V Kohli,P Cummins,1,,54,1,,
India,Australia,1,9,1,9.166666666666666,V Kohli,G Maxwell,0,,54,1,,
India,Australia,1,9,2,9.333333333333334,V Kohli,G Maxwell,0,,54,1,,
India,Australia,1,9,3,9.5,V Kohli,G Maxwell,0,,54,1,,
India,Australia,1,9,4,9.666666666666666,V Kohli,G Maxwell,0,,54,1,,
India,Australia,1,9,5,9.833333333333334,V Kohli,G Maxwell,1,,55,1,,
India,Australia,1,9,6,10.0,R Sharma,G Maxwell,0,,55,1,,
India,Australia,1,10,1,10.166666666666666,V Kohli,P Cummins,1,,56,1,,
India,Australia,1,10,2,10.333333333333334,R Sharma,P Cummins,1,,57,1,,
India,Australia,1,10,3,10.5,V Kohli,P Cummins,2,,59,1,,
India,Australia,1,10,4,10.666666666666666,V Kohli,P Cummins,2,,61,1,,
India,Australia,1,10,5,10.833333333333334,V Kohli,P Cummins,1,,62,1,,
India,Australia,1,10,6,11.0,R Sharma,P Cummins,0,,62,1,,
India,Australia,1,11,1,11.166666666666666,V Kohli,G Maxwell,0,,62,1,,
India,Australia,1,11,2,11.333333333333334,V Kohli,G Maxwell,4,,66,1,,
India,Australia,1,11,3,11.5,V Kohli,G Maxwell,1,,67,1,,
India,Australia,1,11,4,11.666666666666666,R Sharma,G Maxwell,1,,68,1,,
India,Australia,1,11,5,11.833333333333334,V Kohli,G Maxwell,1,,69,1,,
India,Australia,1,11,6,12.0,R Sharma,G Maxwell,2,,71,1,,
India,Australia,1,12,1,12.166666666666666,V Kohli,M Starc,0,,71,1,,
India,Australia,1,12,2,12.333333333333334,V Kohli,M Starc,4,,75,1,,
India,Australia,1,12,3,12.5,V Kohli,M Starc,0,lbw,75,2,,
India,Australia,1,12,4,12.666666666666666,S Iyer,M Starc,0,,75,2,,
India,Australia,1,12,5,12.833333333333334,S Iyer,M Starc,0,caught,75,3,,
India,Australia,1,12,6,13.0,K Rahul,M Starc,0,,75,3,,
India,Australia,1,13,1,13.166666666666666,R Sharma,A Zampa,0,,75,3,,
India,Australia,1,13,2,13.333333333333334,R Sharma,A Zampa,1,,76,3,,
India,Australia,1,13,3,13.5,K Rahul,A Zampa,0,,76,3,,
India,Australia,1,13,4,13.666666666666666,K Rahul,A Zampa,4,,80,3,,
India,Australia,1,13,5,13.833333333333334,K Rahul,A Zampa,0,,80,3,,
India,Australia,1,13,6,14.0,K Rahul,A Zampa,0,,80,3,,
India,Australia,1,14,1,14.166666666666666,R Sharma,M Starc,1,,81,3,,
India,Australia,1,14,2,14.333333333333334,K Rahul,M Starc,0,,81,3,,
