team_1,team_2,innings,over,ball,over_worm,batter,bowler,runs,wicket,score,wickets_lost,runs_to_win,target
India,New Zealand,1,0,1,0.16666666666666666,R Sharma,T Boult,0,,0,0,,
India,New Zealand,1,0,2,0.3333333333333333,R Sharma,T Boult,0,,0,0,,
India,New Zealand,1,0,3,0.5,R Sharma,T Boult,0,,0,0,,
India,New Zealand,1,0,4,0.6666666666666666,R Sharma,T Boult,0,,0,0,,
India,New Zealand,1,0,5,0.8333333333333334,R Sharma,T Boult,0,,0,0,,
India,New Zealand,1,0,6,1.0,R Sharma,T Boult,1,,1,0,,
India,New Zealand,1,1,1,1.1666666666666667,R Sharma,T Southee,0,,1,0,,
India,New Zealand,1,1,2,1.3333333333333333,R Sharma,T Southee,0,,1,0,,
India,New Zealand,1,1,3,1.5,R Sharma,T Southee,1,,2,0,,
India,New Zealand,1,1,4,1.6666666666666665,S Gill,T Southee,0,,2,0,,
India,New Zealand,1,1,5,1.8333333333333335,S Gill,T Southee,0,,2,0,,
India,New Zealand,1,1,6,2.0,S Gill,T Southee,1,,3,0,,
India,New Zealand,1,2,1,2.1666666666666665,S Gill,T Boult,0,,3,0,,
India,New Zealand,1,2,2,2.3333333333333335,S Gill,T Boult,4,,7,0,,
India,New Zealand,1,2,3,2.5,S Gill,T Boult,0,caught,7,1,,
India,New Zealand,1,2,4,2.6666666666666665,V Kohli,T Boult,0,,7,1,,
India,New Zealand,1,2,5,2.8333333333333335,V Kohli,T Boult,0,,7,1,,
India,New Zealand,1,2,6,3.0,V Kohli,T Boult,0,,7,1,,
India,New Zealand,1,3,1,3.1666666666666665,R Sharma,T Southee,0,,7,1,,
India,New Zealand,1,3,2,3.3333333333333335,R Sharma,T Southee,0,,7,1,,
India,New Zealand,1,3,3,3.5,R Sharma,T Southee,0,,7,1,,
India,New Zealand,1,3,4,3.6666666666666665,R Sharma,T Southee,4,,11,1,,
India,New Zealand,1,3,5,3.8333333333333335,R Sharma,T Southee,1,,12,1,,
India,New Zealand,1,3,6,4.0,V Kohli,T Southee,1,,13,1,,
India,New Zealand,1,4,1,4.166666666666667,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,4,2,4.333333333333333,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,4,3,4.5,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,4,4,4.666666666666667,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,4,5,4.833333333333333,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,4,6,5.0,V Kohli,T Boult,0,,13,1,,
India,New Zealand,1,5,1,5.166666666666667,R Sharma,M Santner,4,,17,1,,
India,New Zealand,1,5,2,5.333333333333333,R Sharma,M Santner,0,,17,1,,
India,New Zealand,1,5,3,5.5,R Sharma,M Santner,0,,17,1,,
India,New Zealand,1,5,4,5.666666666666667,R Sharma,M Santner,4,,21,1,,
India,New Zealand,1,5,5,5.833333333333333,R Sharma,M Santner,0,,21,1,,
India,New Zealand,1,5,6,6.0,R Sharma,M Santner,0,,21,1,,
India,New Zealand,1,6,1,6.166666666666667,V Kohli,T Boult,0,,21,1,,
India,New Zealand,1,6,2,6.333333333333333,V Kohli,T Boult,1,,22,1,,
India,New Zealand,1,6,3,6.5,R Sharma,T Boult,0,,22,1,,
India,New Zealand,1,6,4,6.666666666666667,R Sharma,T Boult,0,,22,1,,
India,New Zealand,1,6,5,6.833333333333333,R Sharma,T Boult,4,,26,1,,
India,New Zealand,1,6,6,7.0,R Sharma,T Boult,2,,28,1,,
India,New Zealand,1,7,1,7.166666666666667,V Kohli,L Ferguson,0,,28,1,,
India,New Zealand,1,7,2,7.333333333333333,V Kohli,L Ferguson,0,,28,1,,
India,New Zealand,1,7,3,7.5,V Kohli,L Ferguson,0,,28,1,,
India,New Zealand,1,7,4,7.666666666666667,V Kohli,L Ferguson,1,,29,1,,
India,New Zealand,1,7,5,7.833333333333333,R Sharma,L Ferguson,4,,33,1,,
India,New Zealand,1,7,6,8.0,R Sharma,L Ferguson,0,,33,1,,
India,New Zealand,1,8,1,8.166666666666666,V Kohli,T Southee,6,,39,1,,
India,New Zealand,1,8,2,8.333333333333334,V Kohli,T Southee,1,,40,1,,
India,New Zealand,1,8,3,8.5,R Sharma,T Southee,0,,40,1,,
India,New Zealand,1,8,4,8.666666666666666,R Sharma,T Southee,0,,40,1,,
India,New Zealand,1,8,5,8.833333333333334,R Sharma,T Southee,4,,44,1,,
India,New Zealand,1,8,6,9.0,R Sharma,T Southee,4,,48,1,,
India,New Zealand,1,9,1,9.166666666666666,V Kohli,L Ferguson,1,,49,1,,
India,New Zealand,1,9,2,9.333333333333334,R Sharma,L Ferguson,0,,49,1,,
India,New Zealand,1,9,3,9.5,R Sharma,L Ferguson,0,,49,1,,
India,New Zealand,1,9,4,9.666666666666666,R Sharma,L Ferguson,1,,50,1,,
India,New Zealand,1,9,5,9.833333333333334,V Kohli,L Ferguson,0,,50,1,,
India,New Zealand,1,9,6,10.0,V Kohli,L Ferguson,0,,50,1,,
India,New Zealand,1,10,1,10.166666666666666,R Sharma,T Southee,1,,51,1,,
India,New Zealand,1,10,2,10.333333333333334,V Kohli,T Southee,0,,51,1,,
India,New Zealand,1,10,3,10.5,V Kohli,T Southee,0,,51,1,,
India,New Zealand,1,10,4,10.666666666666666,V Kohli,T Southee,1,,52,1,,
India,New Zealand,1,10,5,10.833333333333334,R Sharma,T Southee,1,,53,1,,
India,New Zealand,1,10,6,11.0,V Kohli,T Southee,0,,53,1,,
India,New Zealand,1,11,1,11.166666666666666,R Sharma,M Santner,0,,53,1,,
